,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-03_LCC_PS,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-01_LMT_PS_PMM,1_Cornell_Pos_S-04_LMT_PS_PMM,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-13_O,1_Cornell_Pos_S-14_LMH_PS_PMM,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-19_LMH_PS_PMM,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-23_O,1_Cornell_Pos_S-25_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-33_O,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-38_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-42_LMT_LMH_PS_PMM,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
37986,37986,13.285,690.45831,Unknown,[M-H]-,ion correlated with 17631; ion correlated with 15810,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.41,Cornell_Neg_S-49,690.45831:78257 691.46166:0 692.46502:0,,738.11505,5.86211934,4.837225333,4.049907594,4.471154581,3.05536492,3.160335491,3.718028595,4.973848697,3.203819545,3.729947882,3.387439532,3.708368024,3.23018392,4.139451837,4.71245869,3.192800613,2.97868992,3.182726377,3.507433826,3.119610544,3.44786113,3.742149703,3.748326883,3.765462434,3.277547894,4.164754244,3.811976634,3.746428679,3.204607161,3.25057245,4.278924999,3.79099371,3.278901463,3.825687469,3.604933854,3.674980122,3.310084625,3.857132786,3.717474109,-1.190835747,4.805101712,-0.606963975,4.19E-05,0.256334662,0.242833754,1,1.03E-06,-4.09E-05,0
9766,9766,9.462,226.16057,Unknown,[M-H]-,ion correlated with 37499,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.13,Cornell_Neg_S-15,226.16057:163117 227.16392:0 228.16728:0,,241.21742,4.915032931,4.820920308,4.800579622,4.769465949,4.967213235,5.199927874,5.232890699,5.121392397,5.089601352,4.937678341,5.191490138,5.228831359,5.196774276,5.411767812,5.015472926,5.193897845,4.846411344,5.1770991,5.185095733,5.185243174,4.901354776,5.281659346,5.164259145,4.972288485,5.088561312,5.267775799,5.166040643,5.022401562,4.878777357,5.330716051,5.200754768,5.326013093,5.093272809,5.242730211,5.112115474,5.373183352,5.107150589,5.154057087,5.199250401,0.318161722,4.826499702,0.59899142,5.61E-05,0.069924016,0.066241183,2,2.06E-06,-5.40E-05,0
37648,37648,1.714,682.24292,Unknown,[M-H]-,,0.8,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,2408.18,Cornell_Neg_S-35,682.24292:2452432 683.24627:622019 684.24963:0,,731.01276,5.867438318,5.603749189,5.606407701,4.190850701,4.574775692,3.751259958,3.659225222,5.739595686,4.884587272,2.902168934,3.642426462,3.317269749,4.002798396,4.43018797,4.725642156,3.421806496,3.332400986,2.763978244,3.533713134,3.573246988,2.872774735,4.156281834,3.824167268,2.998306783,4.070049282,3.622402692,4.097261053,4.431122422,3.673732332,3.701603816,3.217126633,3.449700657,4.100011151,3.659867656,4.064525789,4.210553778,3.590365973,3.90272357,2.636484846,-1.530421602,5.317111477,-0.590880007,7.48E-05,0.343522346,0.325429345,3,3.09E-06,-7.18E-05,0
35820,35820,9.257,636.24524,Unknown,[M-H]-,ion correlated with 1837,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,1044.11,Cornell_Neg_S-04,636.24524:73966 637.24859:0 638.25195:0,,688.94421,5.255827367,5.223951318,4.815922588,3.892959254,3.440788526,3.723154077,3.946787565,5.437971234,3.333605786,3.52029033,3.356077173,2.670887583,3.138813536,4.907138095,3.476122384,3.492841852,2.859833969,3.562563161,3.327920506,3.804117014,3.338414923,3.659546261,3.275658256,3.804077993,3.395419725,3.954951164,3.669820338,2.948114707,3.876405201,3.934231096,3.745936674,3.371513707,3.421983203,3.71890802,3.629522712,3.859541795,3.149044724,3.616403433,3.470409171,-1.201770392,4.797165132,-0.588713597,8.07E-05,0.271276113,0.256988254,4,4.12E-06,-7.66E-05,0
17690,17690,1.443,338.79562,Unknown,[M-H]-,ion correlated with 17633,0.544,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,213.79,Cornell_Neg_S-36_R2,338.79562:276009 339.79897:165405 340.80233:384002,,363.68506,3.786845162,2.125812694,2.617402677,2.568669119,3.685221244,3.689101617,3.003605573,3.417628547,3.684235064,3.477836448,3.140323602,3.768276865,4.167956166,3.722218579,3.331223948,3.803105818,2.927959972,3.640918748,3.664491508,3.124682597,3.757217086,3.277345388,3.613596853,3.697399598,3.501031377,3.781514651,3.507096732,3.907588836,3.655153302,3.598978707,4.0562279,3.83611725,3.504359436,3.592677285,3.116256408,3.724699461,3.363684664,3.167645973,3.70889915,0.785782626,2.774682413,0.582187069,0.000101083,0.180409274,0.170907286,5,5.14E-06,-9.59E-05,0
35159,35159,1.93,619.19562,Unknown,[M-H]-,ion correlated with 8230; ion correlated with 26165; ion correlated with 38887; ion correlated with 25270; ion correlated with 40689; ion correlated with 18927; ion correlated with 18051; ion correlated with 31888; ion correlated with 35633; ion correlated with 43529; ion correlated with 23885; ion correlated with 21309; ion correlated with 28793; ion correlated with 22110,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,14.66,Cornell_Neg_S-15,619.19562:236668 620.19897:0 621.20233:0,,672.97168,5.570000903,5.362829711,4.48179995,3.475071456,3.33295243,3.513587211,3.262450127,5.307318067,3.492772813,3.693401798,3.660306076,3.081197367,3.793989854,3.743707477,3.740312516,2.958450964,3.416663699,2.931353466,2.927714794,3.125554866,3.42860572,4.777788784,3.388162272,2.762847396,3.591356825,3.308299817,2.601546706,3.47838151,3.574154765,3.48145929,3.22748484,3.37970279,3.079244289,3.694982165,3.587005839,3.464332237,2.715620137,3.841433836,3.337609106,-1.273804023,4.722425505,-0.577215305,0.000119589,0.296257283,0.280653689,6,6.17E-06,-0.000113415,0
30470,30470,1.796,526.31079,w/o MS2:Phosphatidylcholine lyso 14:0,[M-H]-,ion correlated with 35802,0.011,FALSE,1.95,526.31,C22H46NO7P,2-acyl-sn-glycero-3-phosphocholines,IGZPHNNYPPAPLA-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(CO)COP([O-1])(=O)OCC[N+1](C)(C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,96.8,100,,,,10.83,Cornell_Neg_S-36_R2,526.31079:72879 527.31414:0 528.3175:0,,561.16364,3.862749257,3.103548819,3.601924141,3.900507375,5.009750543,3.3391431,5.064117159,5.400499998,6.084151606,4.88250177,5.245415187,4.660949637,3.620617475,5.548746781,5.115219304,4.271690903,4.169439299,5.27989498,6.211022373,5.716203324,4.511676187,4.886294928,5.568650459,5.35803579,5.137607271,5.569036059,5.155487862,4.980263493,5.325501296,5.101145379,5.191241362,5.344598564,5.258530731,5.101719586,5.220280725,4.31691031,5.431147367,3.432908355,5.164193694,1.402091684,3.617182398,0.568515632,0.000159461,0.333549351,0.315981618,7,7.20E-06,-0.000152259,0
36586,36586,11.194,655.36414,Unknown,[M-H]-,,0.111,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,11.05,Cornell_Neg_S-20_R2,655.36414:243759 656.36749:113408 657.37085:0,,706.22717,2.247483057,2.924149202,3.291104055,3.155024005,3.427820814,3.481947499,3.64000549,3.290692022,3.77139615,3.66161717,3.356992502,3.609217517,3.700711928,3.657496823,3.779728108,3.542320425,3.54993752,2.819579537,3.568517876,3.668343302,3.885205276,3.829656586,3.649056829,3.660312272,2.994054248,3.798490792,3.542354316,3.315239788,3.246512233,3.186016842,3.723781206,3.490892333,3.343869868,3.334282096,3.588585385,3.208523692,3.081014134,3.709821946,3.670716449,0.603694519,2.90444008,0.565756719,0.000174405,0.14464897,0.137030444,8,8.23E-06,-0.000166174,0
16192,16192,18.603,315.25458,Unknown,[M-H]-,ion correlated with 15081; ion correlated with 20329,0.011,TRUE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,34.29,Cornell_Neg_QC100_1,315.25458:2934527 316.25793:636642 317.26129:51540,57.03468:325444 59.01414:39335 91.02221:68097 225.22371:26318 237.22324:29019 253.25404:1039585 279.23233:12745 283.21085:41310 297.24445:72693 299.20648:14629 315.16656:46774 315.25641:782578,341.16956,3.092235575,5.021038304,2.148555819,4.10672606,3.854057351,3.769178034,5.503114209,4.890661295,6.143245165,5.748130634,5.328597715,5.583876334,5.093076564,4.800576185,4.547467022,5.128476814,5.106148384,5.782484449,6.516469002,6.31856134,5.268657523,4.315006789,5.272254803,5.858437334,5.619101682,5.31488956,5.285856487,5.669940905,5.069878904,5.434812328,4.773252388,5.02951567,4.67967768,4.851762694,3.654162893,5.157792106,4.746552469,4.654007991,5.429889489,1.556420209,3.592138939,0.558832916,0.000217618,0.37970416,0.359705496,9,9.26E-06,-0.000208358,0
34042,34042,10.671,593.02844,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.82,Cornell_Neg_S-41,593.02844:131667 594.03179:0 595.03515:268527,,644.01257,5.41764604,4.684549753,4.970291075,4.802561656,4.326029837,3.446242483,3.903493098,4.953636264,4.549322118,3.44690869,3.826968262,3.771533235,2.916137379,5.118740767,4.642622776,3.379959076,2.973010709,3.765449793,2.715238323,3.855203082,3.324800593,3.377495402,3.475003466,3.687235963,3.470688647,3.068554622,3.218094802,4.100092166,3.447660028,3.255994113,3.735403702,3.286565383,3.783667886,3.780399114,4.859153314,3.27308925,3.755959168,4.561396681,3.324071737,-1.243738647,4.968762131,-0.557600813,0.000226246,0.30439682,0.288364524,10,1.03E-05,-0.000215958,0
