,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-14_LMH_PS_PMM,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-19_LMH_PS_PMM,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM,1_Cornell_Pos_S-01_LMT_PS_PMM,1_Cornell_Pos_S-03_LCC_PS,1_Cornell_Pos_S-04_LMT_PS_PMM,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-13_O,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-23_O,1_Cornell_Pos_S-25_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-33_O,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-38_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
13558,13558,1.611,277.10477,Unknown,[M-H]-,,0.111,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.15,Cornell_Neg_S-43_R2,277.10477:529581 278.10812:0 279.11148:0,,300.27966,3.399465642,2.306228772,3.283792019,3.299663153,3.160469242,2.906920628,3.796331556,3.339568162,3.662082702,3.002384244,4.353051669,3.107342527,3.253999803,3.740792915,3.602640945,3.195790148,3.556321659,3.696117249,3.610842796,3.578676344,3.353718714,3.683153638,3.581043897,3.372142059,3.77368841,3.962112857,3.517432627,3.393537636,2.712281321,3.289927916,3.634469926,3.523392422,3.278206749,3.626919217,3.615231092,3.610728338,2.678140726,3.089441719,3.661292552,0.288183968,3.186554897,0.316125856,0.049928231,0.142182367,0.126763518,1806,0.001858178,-0.048070053,0
32062,32062,7.629,552.22247,Unknown,[M-H]-,ion correlated with 30132; ion correlated with 22746; ion correlated with 29577; ion correlated with 24855; ion correlated with 12779; ion correlated with 24010; ion correlated with 25579; ion correlated with 33333; ion correlated with 23143; ion correlated with 34194; ion correlated with 41358; ion correlated with 24672; ion correlated with 34813; ion correlated with 40931; ion correlated with 11793; ion correlated with 26808; ion correlated with 37822; ion correlated with 40847; ion correlated with 43578; ion correlated with 33113; ion correlated with 41324; ion correlated with 16157; ion correlated with 27845; ion correlated with 32170; ion correlated with 33207; ion correlated with 39762; ion correlated with 18030; ion correlated with 25303; ion correlated with 27122; ion correlated with 27806; ion correlated with 37275; ion correlated with 41551; ion correlated with 22871; ion correlated with 26920; ion correlated with 27715; ion correlated with 36663; ion correlated with 40510; ion correlated with 40998; ion correlated with 41081; ion correlated with 46289; ion correlated with 37668; ion correlated with 37085; ion correlated with 31417; ion correlated with 26700; ion correlated with 26787; ion correlated with 16304; ion correlated with 44501,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.66,Cornell_Neg_S-15,552.22247:374836 553.22582:0 554.22918:470235,,594.42523,3.32534352,5.861790312,4.666650582,3.694829084,4.048042084,3.773137641,3.743058707,3.702338952,4.768168817,3.694807095,3.250889495,3.451874232,4.511770988,3.887281352,3.382485811,3.723398745,3.858812826,3.060883359,4.002094562,3.357318554,4.071900409,4.16894611,3.361472321,3.021755565,3.575507789,3.297511594,3.537516879,3.549498835,3.839816763,4.65300014,3.596302163,3.252059168,3.576565124,3.483664855,3.067894558,3.011370498,3.660125082,4.276405943,3.645492423,-0.437492665,4.10189886,-0.316171953,0.049893039,0.215812375,0.19240878,1805,0.001857149,-0.04803589,0
6231,6231,9.764,180.84108,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.64,Cornell_Neg_S-26,180.84108:76692 181.84443:0 182.84779:0,,191.0022,3.861487857,4.403043268,5.064027225,4.609621085,5.020375787,3.861498769,3.853926852,4.435231017,4.482183564,5.003382973,3.14423547,4.207634367,5.293806568,4.60238559,4.504443676,4.016030832,3.570286463,3.907846769,3.819777349,4.398556269,5.593935361,3.156250795,3.45492705,4.000813727,3.72926015,4.346656092,3.964561064,2.876367293,3.538168829,2.680014594,3.597083638,3.125091478,3.91165223,3.520527799,3.391559561,3.48386724,3.852800452,3.349651836,3.417462911,-0.519579805,4.388651483,-0.316173546,0.049891822,0.256304008,0.228509332,1804,0.00185612,-0.048035703,0
14939,14939,0.128,297.95184,Unknown,[M-H]-,ion correlated with 14839; ion correlated with 15057,0.222,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.38,Cornell_Neg_S-44_R2,297.95184:41441 298.95519:27776 299.95855:62085,,321.05798,4.149387359,3.722395339,4.694409497,4.760757819,4.248746038,4.997389274,4.421554801,3.823651771,4.389699489,4.947797295,4.605635282,3.89540875,4.819739779,4.624510386,4.740011622,4.711030219,3.80596842,4.208295931,3.865072803,4.471527843,4.781733569,4.381965471,4.110524483,5.339341115,5.208773132,4.843101909,5.435982051,4.234492881,5.073704243,4.905121196,5.06272995,4.849305758,4.722930036,5.201240311,5.399085035,4.503777069,5.164400447,5.080616328,4.705850888,0.360273954,4.352286487,0.316176582,0.049889506,0.17771798,0.158445501,1803,0.001855091,-0.048034415,0
1833,1833,13.269,122.40148,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.92,Cornell_Neg_S-15,122.40148:72861 123.40483:0 124.40819:0,,124.33533,3.588282358,4.700757633,3.568598239,4.138379568,3.009243582,3.736166077,3.205639521,3.823701127,3.611875749,4.086435662,3.25372328,3.219136573,3.042594749,2.681291383,3.39422934,3.090356358,3.517306355,3.429429951,3.413620574,3.296271977,3.386535916,3.377323541,3.705907117,3.66991827,3.048462827,3.207416089,3.683258133,3.938099754,3.531561529,3.459815839,3.384534879,3.676191672,3.400956399,3.032960505,2.730270537,3.511368603,3.597091432,3.700148646,3.987861092,-0.299863602,3.721346013,-0.316264476,0.049822463,0.147872744,0.131836807,1802,0.001854062,-0.047968401,0
30294,30294,2.949,524.09631,Unknown,[M-H]-,ion correlated with 29048; ion correlated with 37380; ion correlated with 17215; ion correlated with 32298; ion correlated with 19277; ion correlated with 28244; ion correlated with 27881; ion correlated with 16693,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,12.83,Cornell_Neg_S-15,524.09631:451152 525.09966:0 526.10302:0,,557.31958,3.854592672,5.540192322,3.402515921,3.536014087,3.878678598,3.68427317,3.57883511,3.643964678,3.898355304,3.486973354,4.000504496,3.308650674,3.906152222,3.495436471,3.224938594,3.18759728,3.735473901,3.72396437,3.123551407,3.739981433,3.118292116,3.83176075,3.675764226,4.033046729,2.695548708,3.636515673,2.64441459,3.147917902,3.337183928,3.795477263,3.980546984,3.801775009,3.592082946,3.682575811,3.349126517,3.512189568,3.458746322,3.93900533,3.58071403,-0.352971581,3.88988332,-0.316272671,0.049816216,0.174057048,0.155181575,1801,0.001853033,-0.047963183,0
30235,30235,13.266,523.16357,Unknown,[M-H]-,,0.478,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,16.03,Cornell_Neg_S-28_R2,523.16357:229925 524.16692:0 525.17028:0,,556.28223,4.456472316,5.385034881,5.186981749,4.258762499,4.258876629,3.766336552,3.371556059,3.903497093,4.363707822,4.551260868,4.955978625,4.141459924,4.875940395,2.960489485,3.671425776,4.567586165,3.722954075,4.014423006,3.828008718,3.959571567,3.280319684,4.449946449,4.146397964,3.753936711,3.607199145,3.336625166,3.50934215,3.777757299,2.588230051,3.484309084,4.145335437,5.041180965,3.865189993,3.093996474,2.867167366,3.314385739,3.520968758,3.577191784,3.528272696,-0.500841034,4.323439722,-0.316321748,0.049778817,0.24693173,0.220153423,1800,0.001852004,-0.047926813,0
44385,44385,1.984,853.22333,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,847.85,Cornell_Neg_S-34,853.22333:84253 854.22668:0 855.23004:0,,932.42383,3.270801597,4.617676338,3.460040631,3.463073338,3.681399749,3.310883603,3.630492652,3.773586105,3.685612315,3.270418779,3.984658223,2.858864856,3.560691248,3.126764518,3.227249758,3.541450675,3.247359244,2.693638508,3.366964462,3.462666627,3.678749659,3.570322448,3.281018916,2.519033163,3.183852243,3.709080021,3.518567937,2.699652783,3.868308567,2.770191491,3.742503819,3.423997727,3.587268006,3.335535104,3.591775738,3.615813051,3.626051727,2.881570856,2.866827237,-0.312398777,3.650994252,-0.316340118,0.049764825,0.154013325,0.137311478,1799,0.001850975,-0.047913849,0
29458,29458,13.249,510.25381,Unknown,[M-H]-,,0.289,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.95,Cornell_Neg_S-06_R2,510.25381:322246 511.25716:409297 512.26052:73594,,541.32495,5.332332324,7.583916705,5.567881754,5.36064393,5.620225612,3.666558321,3.286842388,3.795304631,5.230100719,5.385932319,5.674858845,3.144349157,5.431437749,4.20151167,2.419798994,5.215051677,4.620604465,4.731933022,5.256477657,5.116272584,4.250692571,5.54251923,4.913313066,3.654525631,4.644178664,2.964242936,3.342712979,3.287241295,3.612341479,2.875543491,4.152162504,4.373738657,3.642678799,3.298237601,3.643078194,3.442866135,4.358157482,4.119344409,4.093141332,-0.812550456,5.026713208,-0.316358982,0.049750458,0.400562726,0.357124033,1798,0.001849946,-0.047900512,0
2346,2346,1.998,129.17215,Unknown,[M-H]-,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.3,Cornell_Neg_S-05,129.17215:60492 130.1755:0 131.17886:0,,131.72977,3.306804786,2.930337114,3.703133605,2.771824591,3.568214448,3.211421269,3.377245735,3.484913031,3.259313068,3.676948428,4.658681573,3.869563504,3.728578692,3.619726115,3.328780776,3.344167007,3.641576067,3.55234646,3.5896338,4.16878047,3.650795573,3.890314147,3.580159413,2.991722561,3.399880807,3.379192875,3.070111351,3.739845239,3.59325361,3.645567514,3.782779537,3.24157384,3.211376063,3.592433157,3.43471109,4.053806237,3.649553427,3.845271195,2.76307989,0.284909097,3.294236822,0.31636323,0.049747224,0.140449446,0.125218522,1797,0.001848918,-0.047898306,0
