,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-01_LMT_PS_PMM_LV,0_Cornell_Pos_S-04_LMT_PS_PMM_LV,0_Cornell_Pos_S-13_O_LV,0_Cornell_Pos_S-23_O_LV,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_LV,0_Cornell_Pos_S-25_O_LV,0_Cornell_Pos_S-33_O_LV,0_Cornell_Pos_S-38_O_LV,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_LV,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM_LV,1_Cornell_Pos_S-03_LCC_PS,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-14_LMH_PS_PMM,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM,1_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-19_LMH_PS_PMM,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
7258,7258,3.103,195.05121,D-Gluconic acid,[M-H]-,,0.022,TRUE,,195.05051,C6H12O7,Medium-chain hydroxy acids and derivatives,RGHNJXZEOKUKBD-UHFFFAOYSA-N,OCC(O)C(O)C(O)C(O)C(O)=O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,89.5,,73.5,96.1,100,28.19,Cornell_Neg_S-49,195.05121:2175909 196.05456:135451 197.05792:0,46.85047:7695 48.81695:9829 51.04081:7848 57.03478:16959 59.01399:44325 66.59106:8521 71.01411:15358 75.00887:277922 78.9592:30048 85.02991:22483 87.009:45516 89.02465:34792 89.76984:8813 96.96974:336459 99.00881:80286 101.02438:8960 108.75549:9042 117.98172:7376 125.44901:7661 129.01941:144011 159.03043:22790 161.57936:8769 176.93723:21563 177.04018:70165 194.90678:12913 195.05151:592269,204.9816,3.248819752,3.921044008,2.927377239,3.022031832,4.182450066,3.641941166,3.910525717,4.577710041,4.086212637,3.105650402,4.068733501,5.154921286,3.668549526,3.139712267,3.500359703,4.134519548,5.324184677,3.592978234,5.181882158,4.953431069,4.177750192,4.412477348,5.301061481,5.412138697,5.479304601,5.005789471,3.974952087,5.640555469,3.838036918,4.804519893,5.159970022,6.100862123,5.038506905,3.764609964,5.074328133,5.86976106,5.384813813,5.346955092,5.583333124,1.099313313,3.662376286,0.547970611,0.000305016,0.275884976,0.237900166,6,6.17E-06,-0.000298843,0
1154,1154,6.191,114.05629,L-Proline,[M-H]-,,0.067,TRUE,0.627,114.0561,C5H9NO2,Proline and derivatives,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1C[C@H](NC1)C(=O)O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,80.1,99.9,75,73,50,7.38,Cornell_Neg_S-15,114.05629:9238978 115.05964:565612 116.063:0,41.99868:8767 47.30036:6891 56.86832:7073 68.0507:44978 70.02985:17789 83.76604:7589 86.02512:21313 91.50771:6990 108.92797:8808 112.04075:10298 113.9267:26256 114.05632:5405910,114.802,3.333845397,3.822379048,2.497858124,3.515976043,3.627162698,3.156564209,2.889721984,3.51844065,3.191774762,3.274680044,3.469643206,3.433531857,3.645834265,3.610131927,3.925257037,3.904545927,3.778776091,3.699245603,3.89388352,4.064223899,3.597389222,4.05262488,3.858417018,3.558151837,3.843244303,3.337155693,3.292457161,3.495457924,3.568187049,3.506473199,3.294126395,3.066805054,3.718735628,3.726585954,3.530929932,3.81951399,3.462953817,3.908118821,4.626310136,0.396080785,3.282840296,0.481237802,0.001925701,0.11860957,0.102278989,55,5.66E-05,-0.00186911,0
8618,8618,3.929,212.00266,3-Indoxylsulfate,[M-H]-,,0.244,TRUE,,212.00179,C8H7NO4S,Arylsulfates,BXFFHSIDQOFMLE-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,93.1,,87.6,93.7,100,22.43,Cornell_Neg_S-22,212.00267:2584496 213.00602:271317 214.00938:119895,54.02358:8711 79.95251:6272 79.9575:395532 80.96532:412934 86.18855:8043 90.41331:8611 90.67883:10049 92.42101:8930 130.08769:93804 132.04565:239300 132.05743:15561 155.58879:8611 167.93054:9609 212.00275:989315 212.07277:40689,224.86264,3.706158292,3.732245305,2.830433585,4.799613683,4.105686535,3.864747354,3.814927872,3.861943785,3.411832789,3.570163587,3.427097849,3.287940852,2.844593684,3.539914721,3.168926047,3.520401367,3.194168422,3.676708453,4.096218364,3.303582375,3.124289018,3.591709973,2.559783377,3.105918682,3.450398985,2.844503689,3.175555351,2.636614369,3.731569003,3.311004698,3.693045836,3.664196261,3.477209556,2.950135343,3.712572152,3.356292857,3.537553822,3.444899024,3.249514412,-0.436109122,3.769775279,-0.448455491,0.004192754,0.14289526,0.12322094,123,0.000126556,-0.004066197,0
2865,2865,0.859,135.04549,3-Methylbenzoic acid,[M-H]-,,0.111,TRUE,15.784,135.0452,C8H8O2,Benzoic acids,GPSDUZXPYCFOSQ-UHFFFAOYSA-N,CC1=CC=CC(=C1)C(O)=O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,70.2,98.9,61.2,49.3,50,7.67,Cornell_Neg_S-04,135.04543:546925 136.04878:112714 137.05214:19498,41.33443:8376 47.60903:8394 56.46038:7116 75.00886:37204 106.04257:25912 107.05054:139645 134.89508:114286 135.03052:68037 135.0453:559076,140.35451,2.971657352,2.216445076,3.12952933,3.241255017,2.89818866,3.46931798,3.185616807,3.289013656,3.165843792,3.398778727,3.422782652,3.357770706,3.477277743,3.752950385,3.962941432,3.492338871,3.436864938,3.626028876,3.540197927,3.242919793,3.485370058,3.138269151,3.607449914,3.587601639,3.757489852,3.390395515,3.675989892,3.566903204,2.566223523,3.483359472,2.948361873,3.414041601,3.282521371,3.854115746,3.228356803,3.028146474,3.153464518,3.276984296,3.21597748,0.316300729,3.09656464,0.420084933,0.007756015,0.112331506,0.096865311,249,0.000256199,-0.007499816,0
7233,7233,14.999,194.91806,"2,4,5-Trichlorophenol",[M-H]-,ion correlated with 7358,0.011,TRUE,18.623,194.91769,C6H3Cl3O,P-chlorophenols,LHJGJYXLEPZJPM-UHFFFAOYSA-N,OC1=C(Cl)C=C(Cl)C(Cl)=C1,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,83.9,99.9,82.6,79.5,50,77.52,Cornell_Neg_QC100_1,194.91806:2268250 195.92141:149016 196.92477:2278487,44.64587:2147 46.16245:2327 59.01397:18981 60.11948:2682 68.22895:2620 91.62909:2481 115.69508:2182 128.99648:3826 130.99286:19563 131.01361:27859 133.00946:8812 138.02016:2843 153.03098:42512 153.12856:12221 163.01598:3998 166.99429:3706 175.00133:5551 175.0213:9104 177.0161:17786 194.918:2156290 195.06586:6940 195.10518:11826 195.14084:16759 195.17552:74435,204.89986,5.499892499,5.14292262,4.91417385,4.813437534,5.2436667,5.229947917,5.479659512,5.365495473,5.53600765,5.421287138,5.616163992,5.6076898,4.949914259,5.495261191,5.34789082,5.057439771,5.542944873,5.328775997,5.362285452,5.344948051,5.457334522,5.347004905,5.389259137,5.625556801,5.403360776,5.535699736,5.681598027,5.441952652,5.4138402,5.689843627,5.556356784,5.395567504,5.449687397,5.491280431,5.516744208,5.535756657,5.619416321,5.42846606,5.585627647,0.191132552,5.264649089,0.415002677,0.0086136,0.06888719,0.05940256,274,0.000281922,-0.008331678,0
5435,5435,15.386,171.13945,Decanoic acid,[M-H]-,,0.956,TRUE,19.59,171.1394,C10H20O2,Medium-chain fatty acids,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,78.7,99.9,72.6,70.1,50,62.45,Cornell_Neg_S-21,171.13936:1960198 172.14271:204416 173.14607:0,43.26496:8631 56.29172:7841 59.47372:8661 63.44546:8266 65.09547:8602 77.88406:7632 93.08451:7948 99.28284:8570 108.10291:8994 137.89119:7465 165.33684:7796 171.10394:40329 171.13939:1228177,178.38237,4.358366325,4.056779011,3.647014544,4.342748815,4.010520328,3.55508322,3.944146449,3.240321035,3.843910298,3.585991538,3.305954345,3.757548913,3.436925118,3.891688552,3.911129046,3.688611466,3.048621044,3.781165062,3.720476161,3.075677741,4.018484962,3.783513107,3.929066918,3.851704753,3.459933125,3.578414176,2.924279563,3.429763825,3.668239951,3.35121791,3.604527596,3.338453396,3.557307067,3.687218168,3.448208391,3.343992497,3.712895415,2.975833394,3.602260229,-0.310794643,3.858488156,-0.410530904,0.009434129,0.113487657,0.097862279,301,0.000309703,-0.009124426,0
6063,6063,2.111,178.05124,HIPPURATE,[M-H]-,similar chromatogram in higher mz_6594; similar chromatogram in higher mz_7162; similar chromatogram in higher mz_11714; similar chromatogram in higher mz_12201; similar chromatogram in higher mz_12285; similar chromatogram in higher mz_14592; similar chromatogram in higher mz_22940; found in higher mz's MsMs_17240; similar chromatogram in higher mz_15006; similar chromatogram in higher mz_6737; similar chromatogram in higher mz_16699; similar chromatogram in higher mz_35237; similar chromatogram in higher mz_47038; similar chromatogram in higher mz_21189; similar chromatogram in higher mz_29665,0.811,TRUE,,178.05099,C9H9NO3,Hippuric acids,QIAFMBKCNZACKA-UHFFFAOYSA-N,OC(=O)CNC(=O)C1=CC=CC=C1,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,87.2,,85.8,81.1,66.7,122.4,Cornell_Neg_S-22,178.05128:31171032 179.05463:5157375 180.05799:49187460,40.57539:23255 42.31762:22143 42.99528:21139 43.99333:19941 46.17835:20354 46.37079:24592 56.0144:152588 68.73066:25936 74.66409:21537 77.0401:72764 97.06886:25270 99.85336:23972 132.04567:93246 134.06148:6155056 165.70189:22660 178.05138:5435474,188.58141,3.330394179,2.755785091,3.177737014,3.229298575,3.386595667,3.34744277,2.747780139,3.672514213,3.388735711,3.504705223,3.701033766,3.785058601,4.264039526,3.663742126,3.73568345,2.920977871,3.753459636,3.603606866,3.348945202,3.618101167,3.517457474,3.595996487,3.50477281,3.431824399,3.226587073,3.48309836,3.807879518,3.708252103,3.133875394,3.602548145,3.314819248,3.55413811,3.562098699,3.605117939,3.150431893,3.471945992,3.037844564,3.228279646,3.940966335,0.272541914,3.254098858,0.391984511,0.013588574,0.105156968,0.090678589,413,0.000424941,-0.013163633,0
6956,6956,5.586,191.02,CITRATE,[M-H]-,,0.144,TRUE,,191.019,C6H8O7,Tricarboxylic acids and derivatives,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,91.6,,89.4,93.5,87.5,19.9,Cornell_Neg_S-24,191.0201:3936170 192.02345:275937 193.02681:59638,57.03482:59050 59.01403:11674 59.33366:8460 85.0297:335949 87.00896:466660 100.934:30482 109.0134:7895 111.00904:1453303 117.01963:15945 123.25984:8534 129.01973:124250 130.99896:28809 147.0298:14188 154.99911:27158 173.00951:76396 191.02023:301316 191.07373:35818,201.85938,5.686325568,5.913323243,5.647063763,5.539220359,5.577012785,5.748427076,5.617986661,5.743885608,5.638355105,5.749092969,5.397067908,5.190938757,5.708741318,5.473134476,5.583868962,5.538202214,5.381540993,5.463889462,5.375696631,5.619445347,5.506400235,5.253755715,5.536933277,5.208407544,5.843812638,5.768303843,5.339134623,5.790475507,5.547073861,5.381545249,5.405088878,5.879734186,5.684806267,5.349689088,5.378891971,5.681212252,5.665655762,5.791223013,5.506794403,-0.160156749,5.686069314,-0.381066715,0.016692012,0.063881134,0.055085755,515,0.00052989,-0.016162122,0
1542,1542,0.949,118.05125,Threonine,[M-H]-,,0.067,TRUE,10.536,118.05096,C4H9NO3,L-alpha-amino acids,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(C(C(=O)O)N)O,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,89.2,99.5,73.3,91.8,100,6.06,Cornell_Neg_S-21,118.05121:561469 119.05456:48045 120.05792:0,40.08402:7222 70.30513:7485 72.00951:8010 74.02486:693762 88.99638:8065 100.92609:9010 117.91942:9384 117.92887:200196 118.03003:51011 118.04135:65053 118.05148:356663,119.8828,3.708954441,2.839110387,2.187641723,3.576575206,3.210681979,3.44516052,3.463479708,2.550801875,4.064530115,2.310136453,3.454891118,3.781210626,3.353550681,3.817268654,2.69331824,3.266142427,3.419364003,3.836622592,3.745549721,3.485882174,3.525978648,3.08157543,3.734826403,3.439213668,3.622332793,3.465581581,3.54000211,3.147508793,3.455590268,4.059734699,3.849010909,3.107079274,3.173445376,3.55650069,3.249280522,3.633298904,3.444935138,3.945339363,3.9298076,0.375149394,3.135707241,0.379102062,0.017309423,0.150541262,0.129814214,537,0.000552526,-0.016756897,0
11082,11082,16.625,243.19698,beta-Hydroxymyristic acid,[M-H]-,,0.689,TRUE,1.241,243.19591,C14H28O3,Long-chain fatty acids,ATRNZOYKSNPPBF-UHFFFAOYSA-N,O=C(O)CC(O)CCCCCCCCCCC,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,83.3,98.8,76.1,85.7,66.7,19.64,Cornell_Neg_S-22,243.19696:1484990 244.20031:194943 245.20367:0,50.96901:7902 59.01396:557642 110.02534:32393 128.57346:8616 158.83788:8651 197.19127:18610 200.05779:13510 243.19716:212767,261.02344,5.417077909,5.325934158,5.49295166,5.377763258,5.571871225,5.750154567,5.570272005,5.305835918,4.952274079,4.952879584,5.263151803,5.405849017,5.092464483,5.192178002,5.218042903,5.637296556,5.482716409,5.499533128,4.998697336,5.211614384,5.206608674,5.064433653,5.515233847,5.460597842,5.169186387,4.478570718,4.500846639,4.407252838,5.12232239,4.849855332,5.117160221,4.330933948,5.715114637,4.60285464,4.525772554,4.52228095,4.680952652,5.084976431,4.356842036,-0.347103491,5.371701436,-0.376939736,0.018011034,0.140219589,0.120913665,563,0.000579278,-0.017431757,0
