,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-03_LCC_PS_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,1_Cornell_Pos_S-01_LMT_PS_PMM_R1,1_Cornell_Pos_S-04_LMT_PS_PMM_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-08_LMT_PS_PMM_R1,1_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-14_LMH_PS_PMM_R1,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-19_LMH_PS_PMM_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-21_LMT_PS_PMM_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-28_LMT_PS_PMM_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-31_LMT_PS_PMM_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
8971,8971,16.386,316.19455,Unknown,[M+H]+,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,85.51,Cornell_Pos_QC100_3_20240428192327,316.19455:1420216 317.1979:290475 318.20126:73771,,308.22629_@_1.794,5.489330241,6.050275575,5.269056981,5.478319338,6.760832185,6.783889689,5.353094789,6.536673689,6.960976916,6.441434541,6.686825743,6.618549959,6.397617597,6.78105643,6.812867519,6.579652592,6.445849925,6.773166166,6.46890514,6.733414259,6.35183477,6.400858389,6.091075717,6.649454411,6.260719098,6.744443825,6.834255202,6.766822099,6.64785518,6.878953099,7.067775345,7.077774279,6.79006158,6.44799651,6.267621194,6.672784929,5.9112421,6.750519388,6.535363908,6.362787189,1.001726837,5.571745534,0.682542159,1.23E-06,0.174001918,0.165072714,1,1.46E-06,2.34E-07,1
26593,26593,7.865,681.26935,"w/o MS2:3,15-O-diacetyl-7-14-O-dibenzoyl-5-hydroxymyrsinol",[M+H]+,,0.191,FALSE,,681.26801,C38H42O10,Tetracarboxylic acids and derivatives,XMGOOZIWAWRPGW-DTZINVHPSA-N,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](O)[C@@]([C@H](OC(C3=CC=CC=C3)=O)C=C[C@@H]4C(C)=C)(CO5)[C@]4([H])[C@]5(C)[C@@H]2OC(C6=CC=CC=C6)=O)([H])[C@H]1OC(C)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,91,,,,,7.81,Cornell_Pos_S-47,681.26935:543385 682.2727:0 683.27606:0,,673.13232_@_1.959,6.333157087,5.568627399,6.065033414,6.617503941,5.164614813,4.129406688,4.747880278,5.049312568,4.73386541,4.774699489,5.022153195,5.044000861,5.753226739,4.896377729,4.614761903,5.666039387,4.282234099,4.342515259,4.647478731,4.506878272,4.527530315,6.281325814,4.400698946,4.583115224,4.908101266,4.5139354,4.554540241,5.996937501,4.8777765,4.509525607,4.689096338,4.57303759,4.426535359,4.674150322,5.40097997,4.54227406,4.69137336,4.649165901,4.893002598,4.752567646,-1.317716144,6.14608046,-0.651799776,5.22E-06,0.248719071,0.235955628,2,2.92E-06,-2.29E-06,0
26372,26372,2.057,677.1228,Unknown,[M+2H]2+,,0.326,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,70.82,Cornell_Pos_S-25_R,677.1228:2700282 678.12615:778254 679.12951:0,,667.08545_@_18.428,3.358414418,3.415641953,4.14930506,2.236106306,3.490889115,4.475547247,4.495728795,4.148529452,3.739798324,4.161575057,3.605454875,4.061158745,4.224449709,4.205714258,4.371209312,4.190332402,3.879641988,4.34092797,4.390898227,3.83745167,4.349216525,4.179433218,4.066528045,4.276967732,4.356488804,3.874033655,4.200264503,3.623772149,4.319492789,4.009801951,3.637143078,4.216326794,3.650980192,4.224295931,4.338500557,4.335714873,3.862084028,4.003478592,4.391602287,3.744979263,0.801255625,3.289866934,0.576994678,9.72E-05,0.183990549,0.174548761,3,4.38E-06,-9.28E-05,0
3098,3098,1.968,183.08461,w/o MS2:Sorbitol,[M+H]+,,0.404,FALSE,,183.08627,C6H14O6,Sugar alcohols,FBPFZTCFMRRESA-JGWLITMVSA-N,OCC(O)C(O)C(O)C(O)CO,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,86.6,,,,,22.73,Cornell_Pos_S-14,183.08461:4376996 184.08796:0 185.09132:0,,174.24948_@_10.775,2.009600835,2.927950774,3.235528089,1.947992303,3.597147749,3.568270527,4.446712899,3.879266943,3.462592684,3.946424728,4.485229515,3.282587892,3.580680302,3.244019028,3.826586813,3.853082351,3.622368284,3.424746407,3.553727847,3.651616433,3.753731138,2.958428056,3.921994575,3.33100224,2.917135542,3.734828042,3.10549737,3.737929003,3.144375064,3.575664153,3.774530407,2.73480828,3.943440565,3.093894,2.549884091,3.332258257,3.948168987,3.623109048,3.096384563,3.568805225,1.005035583,2.530268,0.571835553,0.000115916,0.233898449,0.221895552,4,5.84E-06,-0.000110072,0
34128,34128,2.022,1036.83374,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.01,Cornell_Pos_S-03,1036.83374:568619 1037.83709:0 1038.84045:302408,,991.43726_@_2.053,5.755075742,5.261324978,5.446571462,5.451877966,4.317505472,3.411217882,3.621393993,3.845319193,3.784174485,3.810201674,3.672522761,4.678525114,4.830215176,4.080469668,4.263560687,4.494813141,4.452381866,4.371766355,4.395143029,4.077345648,4.360650244,3.481019438,4.622667744,5.675806121,4.678157281,4.55706207,4.075499881,4.148987502,4.253547938,4.71212975,3.282313365,3.229419285,3.607851039,3.150562636,3.734473665,4.289964848,5.823869344,4.601698134,3.635645788,3.859764973,-1.315166782,5.478712537,-0.570763718,0.000120188,0.306927864,0.291177338,5,7.31E-06,-0.000112882,0
23622,23622,1.877,605.05414,Unknown,[M+H]+,,0.27,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,45.15,Cornell_Pos_S-43_R,605.05414:1392057 606.05749:0 607.06085:0,,597.18494_@_1.894,2.865841856,3.863961207,4.582081156,2.893794973,4.896886682,4.6090809,5.224524056,5.894098242,5.933178571,5.309257262,6.165789479,5.236109049,3.270030665,5.428003166,4.639496186,4.937252425,4.603964356,4.589787215,5.169591024,5.452829431,6.275691982,4.306653158,5.073389938,5.110903814,4.872725832,4.142333405,5.068165112,4.3891262,4.442969369,4.44079765,4.853550276,4.686142515,6.081221936,4.441952177,4.569466137,4.562335574,5.512308549,4.913624285,4.479509111,5.629090873,1.426686774,3.551419798,0.559253139,0.000175896,0.343068887,0.325463724,6,8.77E-06,-0.00016713,0
33042,33042,18.505,925.82922,Unknown,[M+H]+,,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,2.98,Cornell_Pos_S-15_R,925.82922:58446 926.83257:0 927.83593:0,,902.11896_@_2.086,5.500504419,5.633566898,5.137086161,5.688005918,4.331724412,4.246974329,4.367408247,5.123979171,4.822531626,4.470514166,4.668039905,4.386076743,5.484313862,4.873241644,4.850952854,4.535083965,3.50776096,4.171730063,4.582197939,4.252331893,4.959305796,5.110437614,3.753295122,4.749094146,4.432266934,4.224475545,4.612033646,5.059011743,5.073146618,4.104217543,4.309478497,5.037054138,4.228018137,5.011138717,4.886109683,4.562668599,5.237936594,4.995582428,4.637930465,4.593904413,-0.871680622,5.489790849,-0.545841505,0.000269449,0.21706272,0.205923777,7,1.02E-05,-0.000259222,0
14596,14596,2.031,422.07538,Unknown,[M+NH4]+,adduct linked to 13645_[M+H]+,0.371,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,392.48,Cornell_Pos_S-26,422.07538:10179919 423.07873:1462534 424.08209:0,,414.95432_@_1.727,5.793666544,4.219756546,4.252052842,6.187044013,3.067178614,2.638167054,4.22865608,4.459291949,3.436962248,3.785456135,3.666445616,3.46151037,5.738668402,4.717632087,3.290320202,3.577488761,4.311950793,3.899827144,3.435591297,3.398958388,3.8900352,3.367239694,3.12630845,2.821668774,3.363809979,3.446500838,3.883244179,3.561586843,3.652995591,3.603027844,3.817211543,3.834568877,3.590707679,4.1840969,2.867616643,2.453136292,3.617873843,4.194233297,4.173168432,4.698614092,-1.411414705,5.113129986,-0.543452015,0.000290177,0.353664458,0.335515565,8,1.17E-05,-0.000278488,0
14160,14160,12.967,413.30264,w/o MS2:2-methyl-2-(3-pentadecylphenoxy)propanoic acid,[M+H]+,adduct linked to 15062_[M+NH4]+,0.483,FALSE,,413.30301,C25H42O3,Phenoxyacetic acid derivatives,SQSAOEAQCNWNBE-UHFFFAOYSA-N,O=C(O)C(C)(C)OC1=CC(CCCCCCCCCCCCCCC)=CC=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.3,,,,,153.01,Cornell_Pos_S-03_R,413.30264:19266126 414.30599:5014416 415.30935:444318,,407.23776_@_1.794,3.689702692,6.079362703,4.163375552,4.151665726,7.207175577,7.313515638,4.169019367,5.599789502,6.852018912,6.040236746,6.632895472,6.516873895,4.798204362,5.541865115,6.970942607,6.737387794,7.382963833,7.191092575,5.736933998,5.825367256,6.442330554,5.110490471,6.312851514,6.129046045,5.790909098,7.243363904,6.609093619,6.244177951,6.198946699,7.377038062,8.024686617,6.898871528,5.813138433,5.659049498,6.042776341,6.746551546,5.335467813,6.759044115,5.631859303,5.494833622,1.767329148,4.521026668,0.541267523,0.000310368,0.445381763,0.42252624,9,1.31E-05,-0.000297218,0
13122,13122,2.107,395.15756,w/o MS2:arctigenin,[M+H]+,,0.101,FALSE,,395.15527,C21H24O6,Dibenzylbutyrolactone lignans,NQWVSMVXKMHKTF-JKSUJKDBSA-N,O=C1OCC(CC2=CC=C(OC)C(OC)=C2)C1CC3=CC=C(O)C(OC)=C3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,76.1,,,,,8.28,Cornell_Pos_S-09_R,395.15756:667569 396.16091:0 397.16427:0,,388.31918_@_13.189,5.172874673,4.070751677,6.319332884,4.036721075,3.770286596,3.534868712,5.104604834,4.087269755,4.325677559,3.025641701,5.061416507,4.550844706,3.010603567,3.64480094,3.448832388,3.837746556,3.88524362,3.433513048,3.457966311,3.398163548,4.44240609,3.381093215,3.083168957,3.239101403,3.799000548,3.156376624,3.506417041,3.872806769,3.974480684,3.443496814,3.488605454,3.410646634,3.664434635,3.764864609,3.830796829,4.009986388,3.851265242,3.91729087,3.354098604,3.405377099,-1.172886887,4.899920077,-0.537760216,0.000345435,0.298300262,0.282992476,10,1.46E-05,-0.000330824,0
