,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-14_LMH_PS_PMM_R1,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-19_LMH_PS_PMM_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,1_Cornell_Pos_S-01_LMT_PS_PMM_R1,1_Cornell_Pos_S-03_LCC_PS_R1,1_Cornell_Pos_S-04_LMT_PS_PMM_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-08_LMT_PS_PMM_R1,1_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-21_LMT_PS_PMM_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-28_LMT_PS_PMM_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-31_LMT_PS_PMM_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
16177,16177,10.842,453.8468,Unknown,[M+H]+,,0.449,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,60.12,Cornell_Pos_S-03_R,453.8468:6354084 454.85015:324757 455.85351:0,,445.33008_@_16.799,5.545583923,6.390910418,5.001002902,5.266715394,6.695625607,4.688302428,5.435232201,6.228704727,6.726591993,6.343293871,6.580838528,6.360378267,6.373870724,6.684224935,6.561020866,6.145032325,6.599619392,6.17881854,6.52571748,6.319219574,6.319346278,6.283502306,4.944466389,6.590295249,6.606886183,6.522691255,6.459624101,6.53203536,6.139232549,6.400014808,6.291929744,6.260873622,6.693827808,6.586297684,6.584028874,6.448085231,6.321395807,6.337131357,6.476577899,6.417979657,0.73770432,5.6565097,0.591269257,5.88E-05,0.163228398,0.145995918,1,1.46E-06,-5.74E-05,0
27944,27944,15.224,715.44916,Unknown,[M+H]+,,0.169,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.61,Cornell_Pos_S-47,715.44916:183215 716.45251:799569 717.45587:0,,704.93622_@_18.06,3.517165728,2.877105237,3.685756006,3.237374356,3.648170386,2.602235409,3.24758764,3.013606567,3.786674935,3.502994854,4.044693893,3.758481562,4.107354719,3.784662755,3.643882595,3.94603205,3.722066705,3.726209382,3.664099149,3.883736653,4.119600417,4.034638062,3.788866972,3.676459206,3.90792918,3.89872846,3.78619018,3.477698623,3.56204153,3.767777676,3.792532008,3.692668098,3.902242057,3.235965214,3.489067687,3.553363382,3.276986221,3.044258113,3.609485941,3.954115028,0.494546812,3.228625166,0.590256434,6.10E-05,0.109714627,0.098131746,2,2.92E-06,-5.81E-05,0
28754,28754,12.085,737.56488,Unknown,[M+H]+,,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,207.42,Cornell_Pos_S-47,737.56488:75546464 738.56823:37993560 739.57159:8893253,,727.06256_@_15.51,4.67876299,4.63034152,5.938560579,4.68029433,4.802883919,4.491573914,5.915946806,4.468389801,4.197690756,4.523049576,4.365734543,4.627501466,3.982992429,4.217152322,4.793660411,4.330353199,4.509640259,4.220710637,4.729924338,4.390245256,4.088735321,4.584566942,4.249278302,4.366577129,4.604432799,4.419584346,4.085035871,4.611821894,4.695795411,3.864424884,4.216743018,4.231286349,4.294495491,4.759851893,4.608040718,4.551741373,4.384876536,4.581610213,4.507680674,4.283289673,-0.548390357,4.950844232,-0.556310572,0.000193451,0.132882678,0.11885388,3,4.38E-06,-0.000189068,0
27401,27401,4.398,701.49207,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.1,Cornell_Pos_Blank1,701.49207:193362 702.49542:214281 703.49878:53299,,691.83551_@_17.879,2.858710936,3.729271004,3.861974066,3.488759964,3.766583183,3.995198295,3.807741288,2.945280307,3.7294006,3.260648956,4.493375282,3.864885242,4.475128685,3.573395062,4.263163319,4.08197928,3.973470729,4.085664324,4.140114496,4.356619117,3.795017642,4.269349624,4.166720706,3.642912132,4.116750403,4.261800725,4.061260568,4.198946161,3.790155146,4.044614335,4.366037517,4.478999186,4.093590431,4.312848304,3.961409227,3.683160429,4.242170646,4.014194753,4.179326488,4.126212157,0.509038922,3.55668988,0.551701154,0.000224139,0.124836951,0.111657563,4,5.84E-06,-0.000218295,0
147,147,11.667,108.02798,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.05,Cornell_Pos_Blank1,108.02798:274792 109.03133:0 110.03469:0,,1018.39917_@_11.174,2.019434945,3.172774557,3.129710189,3.13891912,2.105898469,3.132600614,3.666689494,2.407014747,3.573196609,3.667271495,3.438436253,3.488946391,3.570140282,4.07426887,3.816084279,3.50579712,3.413744545,3.859609209,3.778787955,3.799369553,2.890115047,3.722018637,3.53905623,3.334344017,3.542874081,3.616739904,3.852259078,2.325191563,3.622667286,2.833597029,3.522042782,3.04985068,3.701736193,3.77715022,3.099699792,3.357941595,3.969165448,3.248381185,3.323404611,3.677451823,0.653099101,2.846630267,0.543703919,0.000287926,0.163542336,0.146276712,5,7.31E-06,-0.000280621,0
654,654,3.524,120.08076,w/o MS2:Indoline,[M+H]+,,0.247,FALSE,0.424,120.0808,C8H9N,Indolines,LPAGFVYQRIESJQ-UHFFFAOYSA-N,C1CC2=CC=CC=C2N1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,100,100,,,,142.82,Cornell_Pos_S-08,120.08076:184336480 121.08411:16499634 122.08747:572997,,110.55668_@_11.497,3.405019601,4.58243444,3.496038053,3.933314651,4.241333381,4.95685353,4.666408203,4.196210141,4.018474658,3.672723406,3.811488009,3.301082892,3.587242458,2.752737591,3.798183133,3.569097042,2.69444496,4.168150318,3.062781184,3.33461334,3.51327095,3.737597371,3.279228525,3.549894764,3.759555436,3.832924223,3.427750564,3.437655828,3.302069336,3.018176491,3.408797324,3.380787014,2.54842412,3.309537028,3.541181313,3.290061441,4.238409026,4.357022719,2.903771767,3.629358424,-0.708561105,4.1847015,-0.541270896,0.000310336,0.178561765,0.159710498,6,8.77E-06,-0.00030157,0
24148,24148,9.383,618.3822,w/o MS2:deferrioxamine E,[M+H]+,,0.191,FALSE,,618.38208,C27H48N6O9,Macrolactams,NHKCCADZVLTPPO-UHFFFAOYSA-N,O=C1N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN=C(O)CC1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.9,,,,,7.68,Cornell_Pos_S-47,618.3822:547386 619.38555:0 620.38891:0,,608.88721_@_18.782,4.179831443,4.223994225,3.92965764,3.931921385,3.944748744,3.7846747,4.153038512,4.070103032,4.298261604,4.189931582,4.311451637,4.254021891,4.252671275,3.982270517,4.096406336,4.298000168,4.414969015,4.050421112,4.137571439,4.313769103,4.114103164,4.156949294,4.185960611,4.478160935,4.225043278,4.106023263,4.269474135,4.318663699,4.054353451,3.996477186,4.475557538,4.221130829,4.291924329,4.219226755,4.298425989,4.369896788,4.280462427,4.260881274,4.195285194,4.164627823,0.200327966,4.02724621,0.537060059,0.000352847,0.051042822,0.045654087,7,1.02E-05,-0.00034262,0
5284,5284,10.589,238.29414,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.19,Cornell_Pos_Blank1,238.29414:104905 239.29749:0 240.30085:0,,228.57947_@_10.889,3.389256187,3.224118126,3.40882593,3.836589712,3.260953309,3.153045015,2.746930722,2.570717124,3.314140555,3.634790128,3.644184858,3.304631933,3.083171816,3.775902117,3.888726958,3.596264952,3.805402186,3.603237128,3.854465149,3.285972141,3.757952469,3.928106881,3.620409614,3.637706592,3.629869177,3.596136946,3.834708218,3.127210352,3.641374935,3.882059811,3.567657107,3.908523219,3.775931712,3.639048585,3.70472985,3.34480587,3.259890297,4.038839461,3.481953255,3.962785454,0.430276413,3.198804516,0.533486462,0.000392945,0.110663509,0.098980451,8,1.17E-05,-0.000381257,0
18290,18290,18.841,493.83493,Unknown,[M+H]2+,adduct linked to 33725_[M+H]+,0.742,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.71,Cornell_Pos_Blank1,493.83493:156717 494.83828:0 495.84164:0,,486.80954_@_11.685,3.281260373,3.591364449,3.527773192,2.82493012,2.187668828,2.917739394,2.109123857,3.2024887,3.392410554,3.350244532,3.261397966,4.150576171,3.987652091,3.371201405,3.455370431,3.247911707,3.787082312,3.661096854,3.203667784,3.51328198,3.756734177,3.919528339,3.010680862,3.458356628,3.541128809,3.530563241,2.995771286,3.713408933,3.827328735,3.178061882,3.694898971,4.204596316,3.870394591,3.6294145,3.034343136,3.13775819,3.21648287,3.718436253,3.577299542,3.534172203,0.57380805,2.955293614,0.529993743,0.000436035,0.148936363,0.133212732,9,1.31E-05,-0.000422886,0
21734,21734,10.233,564.35895,w/o MS2:BE-43547A,[M+H]+,,0.427,FALSE,,564.35999,C30H49N3O7,Macrolide lactams,JRGSONPJAHDIGK-VHEBQXMUSA-N,O=C(CNC(C(O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(OC(CCCCCCCCCCCCC)C1C)=O)=O)=C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,94.6,,,,,170.41,Cornell_Pos_S-43,564.35895:32433884 565.3623:9098575 566.36566:1866036,,556.41705_@_8.627,4.071079908,4.299756567,6.332524155,5.85230985,6.101215133,3.832810677,4.240803888,6.213256019,6.056752525,6.082183974,6.548481233,5.871113889,5.983420648,5.797445798,5.706274135,4.333484807,6.294737328,5.793601621,6.421979304,6.423024694,6.603952035,6.09824028,5.775279029,6.240422831,6.064383885,6.500837233,6.686148009,6.47988697,6.459343643,6.546799138,5.492423455,6.318476593,6.643119138,5.014650433,6.238904512,6.182286506,6.134571346,5.688719958,6.236437334,6.531242164,0.98354999,5.117969524,0.52829196,0.000458524,0.25643095,0.229358814,10,1.46E-05,-0.000443914,0
17533,17533,12.739,480.27649,"w/o MS2:""2-((4R)-4-((3R,5S,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-7-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",[M+H]+,,0.045,FALSE,,480.27701,C26H43NO6S,Taurinated bile acids and derivatives,QNRIYEYAHVEGQJ-SWQVIYSDSA-N,[H][C@@]12C(C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@H]1CC[C@@]4(C)[C@H]2CC[C@@H]4[C@@H](CCC(NCCS(=O)(O)=O)=O)C)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.6,,,,,8.25,Cornell_Pos_S-28_R,480.27649:552091 481.27984:183608 482.2832:38300,,472.3439_@_18.564,4.040514152,3.937938803,4.452672234,4.807356413,3.219843719,3.595533604,4.945860637,3.882647047,4.293656585,4.58984307,3.748211821,4.845068682,4.693330377,4.532573619,4.183757947,4.860011304,4.46678815,5.43020019,5.350446151,5.857804375,5.743610053,6.236685701,5.243508617,4.382191734,5.2262879,5.546019674,5.044902867,5.248077154,5.302420256,5.157911982,4.803114552,5.753693986,5.076371525,5.35161603,4.305534701,4.656631836,5.138202634,5.521824781,4.840913668,3.990540996,0.871633952,4.110295826,0.525512905,0.000497489,0.228917556,0.204750086,11,1.61E-05,-0.000481418,0
2868,2868,2.228,177.07008,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,84.63,Cornell_Pos_S-47_R,177.07008:9222965 178.07343:0 179.07679:306559,,169.10086_@_16.757,5.694876304,5.511292161,6.053595594,6.336810993,5.606168955,5.687920333,5.720812179,5.83007896,5.783607517,5.223275059,5.323383889,5.436997832,5.467552565,5.447882328,5.608100891,5.858204387,5.286635509,5.518214831,5.689116294,4.989848317,5.94612267,5.65080109,5.743855203,5.238138224,5.49654979,5.149543979,5.76662842,5.402949918,5.434762642,5.197856605,5.269944858,5.542939292,5.544356353,5.463632985,5.433726514,5.51432955,5.422318428,5.480906649,5.329606233,5.505700517,-0.331210393,5.805194435,-0.518746381,0.00060502,0.088549622,0.079201189,12,1.75E-05,-0.000587488,0
21736,21736,15.238,564.36072,w/o MS2:BE-43547A,[M+H]+,,0.101,FALSE,,564.35999,C30H49N3O7,Macrolide lactams,JRGSONPJAHDIGK-VHEBQXMUSA-N,O=C(CNC(C(O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(OC(CCCCCCCCCCCCC)C1C)=O)=O)=C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,97.2,,,,,119.07,Cornell_Pos_QC100_3_20240428192327,564.36072:6435783 565.36407:0 566.36743:0,,556.4209_@_8.815,4.716895771,4.07341419,5.898569182,5.538473064,5.831830828,4.343710689,4.344565248,5.830399417,5.402299504,5.701358613,5.327277607,5.609508837,5.738401796,5.543011654,6.132446175,4.928300402,6.010375012,5.483168134,6.397737587,5.902454552,5.669870946,5.673451163,5.623847104,6.189059192,5.653138883,5.59772012,5.561932118,6.05023576,5.689680318,5.852202448,5.304448279,6.384359725,5.576375456,5.197983368,5.914222677,5.761470996,5.808077997,5.941749498,5.788763569,5.689088565,0.649768266,5.072232299,0.517684486,0.000623659,0.174203915,0.155812718,13,1.90E-05,-0.000604666,0
4378,4378,1.656,214.14442,Unknown,[M+H]+,,0.461,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.31,Cornell_Pos_S-41,214.14442:1419697 215.14777:0 216.15113:0,,204.14127_@_10.574,4.768449172,6.338453807,4.413967235,5.009731845,4.625659066,4.942864182,5.725174322,5.129892776,4.679917995,4.541445289,4.270860104,5.510012467,4.638098454,4.708091525,4.963546011,4.656532554,4.648642169,4.48754644,4.547456827,4.101174716,4.327895388,4.514440216,4.705124233,4.582328288,4.157446625,4.792116496,4.484462445,4.444501312,4.693680639,4.28484703,4.280495238,4.252871701,4.760957697,5.08162617,4.827240074,4.362580416,4.449277733,4.693886979,4.143122539,4.500296359,-0.553882734,5.119274051,-0.516596924,0.000643278,0.148923764,0.133201464,14,2.05E-05,-0.000622824,0
22147,22147,1.947,573.13239,Unknown,[M+NH4]+,adduct linked to 21345_[M+H]+,0.315,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,40.33,Cornell_Pos_S-36,573.13239:2189376 574.13574:0 575.1391:0,,565.14966_@_1.87,6.653163538,6.350250711,4.822743865,4.843788189,4.658861697,5.986216381,4.914461216,5.742303583,4.584953938,4.319531347,4.087678284,5.127347871,4.620631156,4.728494578,4.945572086,4.630011333,5.130118083,4.516950797,4.528243191,4.316669495,5.097550093,5.661573524,4.660666716,4.572905308,4.423150323,4.620269992,4.77525049,4.648772825,4.454294216,4.614863775,4.684800885,4.360251281,4.444999809,4.839445164,4.939138252,5.127523974,5.407057069,6.099097568,4.588816696,3.605868834,-0.772645555,5.496473647,-0.510875208,0.000755849,0.210910315,0.18864392,15,2.19E-05,-0.000733934,0
562,562,11.461,117.468,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.93,Cornell_Pos_Blank1,117.468:252312 118.47135:0 119.47471:0,,108.48412_@_11.595,3.785601617,4.126186258,4.517057209,4.339968482,3.961129264,3.789107286,5.054288159,4.907966764,3.941187171,3.568581151,3.155086898,4.602452112,2.944928069,2.759548325,3.979978717,3.86509776,4.570584705,3.3769575,3.820544469,3.560800666,3.179234106,3.973974106,3.648957187,3.513134888,2.477740003,3.467172124,3.237889828,3.133959824,3.970896351,2.621382328,4.62895241,3.585886895,3.921385039,2.804567531,3.402243535,3.605600898,3.86481543,3.70052698,3.32080815,3.581684023,-0.754333156,4.31016313,-0.510224869,0.000769694,0.206266619,0.184490472,16,2.34E-05,-0.000746318,0
14867,14867,2.119,427.21811,w/o MS2:Perospirone,[M+H]+,,0.112,FALSE,2.277,427.21689,C23H30N4O2S,N-arylpiperazines,FBVFZWUMDDXLLG-HDICACEKSA-N,O=C1N(C(=O)C2CCCCC12)CCCCN3CCN(C4=NSC=5C=CC=CC54)CC3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,92.5,100,,,,10.54,Cornell_Pos_S-01,427.21811:502764 428.22146:0 429.22482:0,,419.33276_@_18.793,3.999721425,4.287064495,3.997723945,4.435068136,4.250222793,4.064648788,4.207219285,4.157506432,4.336539617,4.248469169,4.378047029,4.188311831,4.623641677,4.312493396,4.475842329,4.262580284,4.261877601,4.335938945,4.328992883,4.357358675,4.213994573,4.261402638,4.465575837,4.274411908,4.2670086,4.414674493,4.193762221,4.469320263,4.393820105,4.27904447,4.414115136,4.486721357,4.495417637,4.625371467,4.183820081,4.508495511,4.271831161,4.535328768,4.307253174,4.638724213,0.194171433,4.174896912,0.507442591,0.000831511,0.053487887,0.04784102,17,2.48E-05,-0.000806674,0
22556,22556,9.734,582.42633,Unknown,[M+H]+,,0.281,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.04,Cornell_Pos_S-09_R,582.42633:5089394 583.42968:1677726 584.43304:349379,,573.92938_@_17.439,5.530793265,5.744767473,5.768039155,5.604402101,5.551827551,5.471185046,5.032723625,5.575126525,6.049592219,6.070896721,5.638572548,5.933590175,5.544109107,5.822073363,5.771372685,5.55509817,5.729512904,5.755849931,5.576585639,5.797041569,5.918200687,5.896847627,5.670725846,5.627319588,5.857788127,6.039744671,5.958080389,5.689813435,5.907015576,5.665449095,5.935122851,5.689711341,5.633241495,5.578728432,5.859050459,5.710611077,5.746650759,5.534040458,5.973230434,5.882967411,0.246974245,5.534858093,0.504969406,0.000890129,0.06848172,0.061251912,18,2.63E-05,-0.000863831,0
20187,20187,8.452,529.37054,Unknown,[M+H]+,,0.045,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.78,Cornell_Pos_S-07,529.37054:740314 530.37389:106016 531.37725:0,,521.93347_@_2.206,4.30541173,4.387104866,4.175255479,4.287763522,3.977802154,4.293030211,4.756405611,4.128867296,4.123933313,4.420391225,3.700249728,2.708842891,4.158982205,4.568667692,3.498485793,3.398000559,4.288621727,3.736321395,3.706464537,3.266445071,3.040222271,3.718665971,3.709242652,3.661532087,3.52898873,2.969865214,3.504588872,3.486753445,3.629304888,4.264213723,4.350748619,3.204676695,4.043144883,4.136052091,3.545357154,3.804566836,3.739326702,3.644259062,3.17733982,3.833452791,-0.583714214,4.288955109,-0.504392267,0.000904326,0.162102471,0.144988857,19,2.78E-05,-0.000876567,0
