,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-01_LMT_PS_PMM_R1,0_Cornell_Pos_S-04_LMT_PS_PMM_R1,0_Cornell_Pos_S-08_LMT_PS_PMM_R1,0_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,0_Cornell_Pos_S-14_LMH_PS_PMM_R1,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-19_LMH_PS_PMM_R1,0_Cornell_Pos_S-21_LMT_PS_PMM_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-28_LMT_PS_PMM_R1,0_Cornell_Pos_S-31_LMT_PS_PMM_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-03_LCC_PS_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
29827,29827,10.053,767.53711,Unknown,[M+H]+,,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.84,Cornell_Pos_Blank1,767.53711:603007 768.54046:244721 769.54382:294590,,756.9364_@_2.073,3.19198475,3.150846457,3.127849496,3.015556484,3.146695722,3.485939927,2.784492609,3.651357648,3.517352181,2.753826398,3.430002765,2.978739824,3.261576749,3.38538675,4.105489583,3.922766822,4.265365302,2.75371914,3.303902869,3.210804655,3.750336192,3.776136305,3.958608318,4.553510096,4.041182562,3.291132941,3.611751731,3.236556053,3.68292408,4.1871505,3.873213977,3.657973511,3.748915176,3.099535805,3.74010642,3.661253641,4.153876645,3.549580887,4.146381883,3.852748123,0.53012946,3.205829126,0.576774207,9.80E-05,0.121802198,0.098200072,1,1.46E-06,-9.65E-05,0
11181,11181,14.358,357.20273,"w/o MS2:4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",[M+H]+,,0.674,FALSE,4.734,357.20291,C20H30O4,Diterpene lactones,GVRNTWSGBWPJGS-YVKFZJNCSA-N,O=C1OCC=C1CCC2C(=C)CCC3C(C)(CO)C(O)CCC23C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.8,99.5,,,,30.46,Cornell_Pos_S-25,357.20273:8150208 358.20608:1896219 359.20944:0,,350.23471_@_11.967,5.029733002,5.169418571,6.841986885,6.62422503,6.972571488,5.874266988,6.448669937,6.704095832,5.154645656,5.167505565,7.014541505,4.839252067,6.687161983,6.557558211,4.829734702,5.933160668,5.538132895,4.621447534,4.945019641,4.875618556,5.519945532,4.812970783,5.987553386,5.811712635,5.985374564,4.641010108,4.518393178,4.544156658,4.604799608,5.824344071,5.381411958,4.580075183,5.756548614,4.447491774,4.664038747,4.964912641,5.789140805,5.083073252,4.883924026,5.664457965,-0.915681753,6.077545194,-0.565202714,0.00014472,0.216808963,0.174796974,2,2.92E-06,-0.000141798,0
1980,1980,12.113,156.10237,w/o MS2:retronecine,[M+H]+,,0.112,FALSE,,156.1019,C8H13NO2,Alkaloids and derivatives,HJSJELVDQOXCHO-HTQZYQBOSA-N,OCC1=CCN2CC[C@@H](O)[C@@H]12,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.8,,,,,3.32,Cornell_Pos_S-50_R,156.10237:417895 157.10572:0 158.10908:1964674,,146.11786_@_1.664,6.399140652,6.499941999,6.055404008,6.464105566,6.774365396,6.808508588,6.690108147,6.840799319,6.534536635,6.484829593,6.548331854,6.161930719,6.647336509,6.899784774,6.768018785,6.750607886,7.102354506,7.220457213,7.061590856,6.91238077,6.560017875,7.032640806,6.63797723,6.503556025,6.856341815,6.915290718,6.886169164,7.127171814,6.659318629,6.8409205,6.867057616,6.855437134,7.344889077,6.870328392,6.639999105,6.600588851,7.021044459,6.771649092,6.986637438,6.669143647,0.30611273,6.557794554,0.558005699,0.000183154,0.073848863,0.059538857,3,4.38E-06,-0.000178771,0
27627,27627,8.5,706.46124,Unknown,[M+H]+,adduct linked to 28254_[M+NH4]+,0.079,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,23.48,Cornell_Pos_S-25_R,706.46124:1333949 707.46459:0 708.46795:300220,,697.44684_@_9.277,3.066292561,3.220779695,3.264916714,3.26839407,2.16312404,3.510298259,3.497065002,3.559962636,3.544204067,2.196196544,3.612842018,3.563186613,2.998099675,3.186846013,3.777397,3.704934259,3.704753685,3.75819674,3.776888229,3.618903911,3.365780194,3.421725326,3.517258957,3.904466922,3.586486585,3.374922981,3.634389869,3.31194,3.307636441,3.670272461,3.72070626,3.57742699,3.449969378,3.496070625,3.173080965,3.822260602,3.833963359,3.805391956,3.746402006,3.739041991,0.418259182,3.189443422,0.54225297,0.000301108,0.10513379,0.084761571,4,5.84E-06,-0.000295264,0
9023,9023,17.244,317.1152,w/o MS2:Heptelidic acid chlorohydrin_130129,[M+H]+,,0.315,FALSE,,317.11499,C15H21ClO5,Terpene lactones,BJGUEPXNQKBVBW-RTWAVKEYSA-N,CC([C@H]1CC[C@](CCl)(O)[C@@]2([H])C(OCC(C(O)=O)=C[C@@]21[H])=O)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.8,,,,,18.13,Cornell_Pos_QC100_3_20240428192327,317.1152:747065 318.11855:142079 319.12191:84289,,309.20865_@_1.834,5.390716437,5.617994052,4.749005955,4.848280525,4.881031679,4.869413289,5.31399889,4.757745232,5.173995721,4.644622228,4.833612005,4.885348731,5.513479274,5.126451469,4.50329691,5.111366864,4.468720416,4.877704572,4.417963682,4.838491511,4.966907448,4.03461891,4.731348688,5.010963958,4.411151122,4.585162885,4.768284609,4.63917712,4.62484752,4.499633647,4.510991784,4.404430488,5.001557828,5.361945959,4.572614877,4.818867285,4.683168226,4.420710437,4.400653269,4.799104123,-0.371583804,5.043263963,-0.527826524,0.000464853,0.096997733,0.078202072,5,7.31E-06,-0.000457548,0
14124,14124,16.329,413.03564,Unknown,[M+H]+,ion correlated with 22356; ion correlated with 11034; ion correlated with 11157; ion correlated with 19701; ion correlated with 14338,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,28.21,Cornell_Pos_S-25,413.03564:1702676 414.03899:288441 415.04235:335590,,407.11688_@_1.826,6.045061579,4.59651847,6.358872005,5.459640314,5.563623551,5.550453721,6.031903442,5.859615175,5.501755879,5.858524174,5.343993424,5.787734359,5.58073643,6.110376074,6.351030812,6.665885633,5.598162625,6.249631594,6.231019965,5.784768006,5.527115743,6.479407067,6.677715,5.816028873,6.581015614,6.553640009,5.851711314,6.318295084,6.519954565,6.238184573,6.419606075,5.802749713,5.898169479,6.099731569,5.889134914,6.237139748,6.134713647,6.051096681,6.022720729,5.932370293,0.461991668,5.689200614,0.526981976,0.000476537,0.120865509,0.097444888,6,8.77E-06,-0.000467771,0
8048,8048,10.325,298.18964,w/o MS2:MMV688795,[M+H]+,,0.135,FALSE,,298.19128,C18H23N3O,Phenylpyrazoles,DYEUWGMQMXFQOI-UHFFFAOYSA-N,OC(=NCCC1=NN(C=C1)C=2C=CC=CC2)C3CCCCC3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,86.8,,,,,166.65,Cornell_Pos_S-07_R,298.18964:21911466 299.19299:2515720 300.19635:435323,,290.91034_@_0.132,3.853776624,3.272900593,3.383915018,3.430866491,3.750802827,3.873466248,3.818126251,3.748289948,3.539449167,3.378890431,3.805656727,3.776187283,3.697013747,3.276372915,3.13486528,3.429640499,3.369041354,3.544069838,3.048212493,3.451078759,2.990511449,3.117517341,3.452886591,3.220900485,3.649396696,3.390243595,3.122553832,3.057808877,3.563711373,3.515843009,3.56624267,3.308010544,3.335054689,2.634291366,3.125491329,3.586760379,3.138028633,3.038011989,3.923079166,2.784861566,-0.326304884,3.614693876,-0.512942821,0.000713293,0.088585788,0.071420145,7,1.02E-05,-0.000703065,0
8681,8681,11.328,310.21109,Unknown,[M+H]+,,0.573,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,11.52,Cornell_Pos_S-25_R,310.21109:3013789 311.21444:0 312.2178:0,,302.94421_@_2.113,5.740350808,4.729612019,5.609493878,5.86439905,4.527725068,6.031199613,5.226003068,6.053058826,4.395260364,5.898491221,4.734215498,4.598066395,5.182949112,5.718492333,5.690111905,5.625154081,6.290248236,6.277523591,6.286741585,5.737070711,4.496100341,6.271085818,5.792187558,5.186949542,6.557435028,6.071438759,5.668023279,5.879749374,6.42352042,6.068866787,5.470781377,5.850868325,6.05448146,5.967159706,6.364148674,6.102626867,5.776328615,6.227976969,6.61123838,5.529928812,0.625951094,5.307808375,0.511546361,0.000741793,0.170563467,0.137512663,8,1.17E-05,-0.000730105,0
29967,29967,7.242,771.42297,Unknown,[M+H]+,,0.202,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,42.63,Cornell_Pos_S-36,771.42297:2453528 772.42632:1039934 773.42968:219496,,761.27686_@_17.654,4.577281903,4.21142415,4.168899863,3.754694721,4.383836924,4.390916891,3.953665993,4.533440942,3.882036891,4.004153716,4.443678218,4.263544217,4.090303135,4.588501491,4.59484782,4.227386767,4.334126546,4.646358968,4.393008174,4.699646171,4.467792379,4.311399754,4.517528676,4.408904231,4.536109894,4.648251093,4.419689522,4.739595867,4.618055205,4.489427984,4.553131758,4.231494445,4.298667673,4.421000621,4.355507277,4.485843546,4.482267573,4.203461107,4.518591094,4.649908695,0.23934666,4.231884218,0.508131075,0.000815816,0.065811843,0.053059204,9,1.31E-05,-0.000802667,0
160,160,12.006,108.10834,Unknown,[M+H]+,,0.079,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.1,Cornell_Pos_Blank1_R,108.10834:240984 109.11169:0 110.11505:0,,1020.34375_@_9.876,3.350688166,2.982780809,2.592989179,2.960383622,3.55424959,3.06283014,2.96351654,3.333406482,2.126587346,3.21435934,3.503311285,3.63555063,3.569943361,3.586462055,4.547565007,3.676366779,3.760053752,3.274705822,3.537695084,3.486420862,3.579638326,3.447821207,3.932930292,3.16015645,3.618037735,3.572071824,3.64291158,3.384161886,3.628526852,3.545191854,3.367328484,3.327956169,3.585673753,3.669925513,3.483861349,3.782509976,3.684507363,3.271973554,3.375870688,3.500838734,0.396874424,3.17407561,0.504831607,0.000893501,0.110086784,0.088754803,10,1.46E-05,-0.000878891,0
