,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-01_LMT_PS_PMM_LV,0_Cornell_Pos_S-04_LMT_PS_PMM_LV,0_Cornell_Pos_S-13_O_LV,0_Cornell_Pos_S-23_O_LV,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_LV,0_Cornell_Pos_S-25_O_LV,0_Cornell_Pos_S-33_O_LV,0_Cornell_Pos_S-38_O_LV,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_LV,0_Cornell_Pos_S-47_RP_LV,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM_LV,1_Cornell_Pos_S-03_LCC_PS,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-14_LMH_PS_PMM,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM,1_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-19_LMH_PS_PMM,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
28863,28863,1.894,739.08118,Unknown,[M+H]+,,0.067,False,,,,,,,999,False,False,False,,False,False,,,,,,,,31.6,Cornell_Pos_S-06,739.08118:1012847 740.08453:0 741.08789:405585,,730.30298_@_1.916,4.697144748868904,6.1775044737873746,4.539848703235355,4.214180325499566,4.259032290660423,3.8232247898977487,4.043565158161797,4.7439219797027,3.786026419384869,5.312708719437726,4.181210802691508,3.732711880606855,3.190271763918114,3.621995002689449,3.604008788199328,3.647901339216116,3.3559747970400786,3.5011365452366876,3.764744700322796,3.5449264600906596,2.845882848461765,3.666374393760266,3.4948320882136246,3.844184213236825,4.141288499168956,2.9998841741129056,3.9731872394482792,4.085566845800998,3.9343377397745525,2.738166555230294,4.625467893978277,3.6146744991061714,3.6528794620329217,3.421880497861447,2.701463785051375,2.756866673830285,3.801571764556438,3.1788776061692294,4.240960371185635,3.2037287370533365,-0.9775218341994398,4.525306219211635,-0.6378387121553818,9.552558502498883e-06,0.1914742482307783,0.16303444761236113,1,1.461048448366548e-06,-8.091510054132335e-06,0
2327,2327,11.744,165.09068,w/o MS2:Phenethylacetate,[M+H]+,ion correlated with 7235,0.169,False,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,530,True,True,False,,False,False,,,99.5,99.4,,,,9.85,Cornell_Pos_S-25,165.09068:2228364 166.09403:0 167.09739:0,,156.07635_@_9.993,6.340720381816343,6.44047016926568,6.2516420324908335,6.649968385433665,6.250673063692114,6.938039027929738,6.3151102815776605,6.374907449141242,6.4147610527032395,6.290404935130324,6.964940298913439,6.116321654245251,6.391149410854399,6.161408452935255,6.299816622355127,6.200286479847955,6.319726546558802,6.264510857176053,6.583037528143756,6.046841331897804,6.074584021412361,6.134562803079388,6.174312016229933,6.055803587568631,6.365837495450158,5.843116444748185,6.279485557663992,6.0619358056166455,6.027007713652719,6.125444105094181,6.3401898248441695,6.117866576418309,6.103448573556908,6.030482340550354,6.33819469132442,6.157647669769341,5.878524288149062,6.015076949379653,6.169532053222125,5.880774532650147,-0.3184679936877377,6.475603370735843,-0.5982526256281262,4.559676503445142e-05,0.0691972152309038,0.05891930568066139,2,2.922096896733096e-06,-4.267466813771832e-05,0
7003,7003,2.198,277.05627,Unknown,[M+H]+,,0.326,False,,,,,,,999,False,False,False,,False,False,,,,,,,,27.57,Cornell_Pos_S-09,277.05627:2752587 278.05962:204175 279.06298:0,,269.1604_@_6.108,5.915548703362655,5.885002621192233,5.8367647086991585,6.018955261191131,5.437136970269341,5.629010939171061,5.600516948618732,5.8721283439752545,6.025796297991532,5.997502133005329,5.582043457215985,5.357705971225087,5.804172023583823,5.108185551148077,5.08673309690821,5.398628099548391,5.569222204193546,5.4744295530276545,4.655236052854769,5.260909165064964,5.288863575379906,5.410581500061645,5.848194455022995,5.372755052791601,5.216315983572288,5.450108120532366,5.642236652242397,5.634910337075818,5.354049569615266,5.817865975098366,5.6074162226847895,5.525047740524113,5.5973433534235735,5.619313968724199,5.284677205988318,5.346005934504603,5.271320011166044,5.265183761341671,5.630630712029766,5.078345000381843,-0.38705808717618545,5.800036944062947,-0.588139030674881,6.580159260134957e-05,0.08634236188064164,0.07351787201060409,3,4.383145345099644e-06,-6.141844725624993e-05,0
10327,10327,7.888,341.28073,"w/o MS2:alpha-D-Glucose-1,6-diphosphate  potassium salt hydrate",[M+H]+,,0.056,False,,341.28,C6H14O12P2,Hexose phosphates,RWHOZGRAXYWRNX-VFUOTHLCSA-N,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O,530,True,True,False,,False,False,,,97.2,,,,,4.34,Cornell_Pos_S-47,341.28073:855951 342.28408:0 343.28744:0,,335.1666_@_0.144,4.413982719794973,4.093201566771329,3.4096419194845415,4.075051879578809,3.9006867198963486,4.287130291778677,3.612494805576385,4.463657390928382,3.572486861046961,3.8351782479602003,4.651480056236946,3.7555896194295553,3.143147243310875,3.985270028665136,3.5685921473454183,2.9860471942730595,3.14305661048948,2.6952172410375517,3.4161294238393305,3.8898163486025257,3.194991507207711,3.65363298015879,3.587913177853103,3.116339424177509,3.398378632292696,3.4386145861225534,3.5483608735432597,3.9593456687715074,3.1436311608164433,2.9914104143818863,3.1109232038764265,3.3262606790711247,4.337716536798903,3.4618115632204,3.47080992079108,2.8333031118051166,3.824165030317492,3.578407623896474,3.5861708663323033,4.257147359426075,-0.5664908443766824,4.028635678095778,-0.5432323509770277,0.00029215226458758335,0.1420295788861258,0.12093382871208293,4,5.844193793466192e-06,-0.00028630807079411713,0
4662,4662,11.551,221.99199,Unknown,[M+H]+,,0.056,False,,,,,,,999,False,False,False,,False,False,,,,,,,,14.25,Cornell_Pos_Blank1,221.99199:136570 222.99534:0 223.9987:0,,212.23796_@_11.343,3.6122277124177335,3.2954142297696856,3.501160703615611,3.1304678325222497,3.0566853335319486,2.308607908483101,3.4454020991129433,3.624249299896651,3.1587790159421893,2.8627296481941236,2.3075092175880307,3.926615028893759,3.0241503286047533,3.703571778691509,3.341780321127749,3.0023667009383286,4.031174493866722,3.4586483080703614,3.3864380036274184,3.6001255752833123,3.413123878945445,4.042109311967842,3.662523292015614,3.9852282391669362,3.5551461750514433,3.3595633998222887,3.7007909431796526,3.545124690435879,3.815058969079977,3.0500614081062927,3.624499217162125,3.841081295870354,3.8425620199360417,3.53339577467217,3.7863576883301624,3.3533578223170206,3.669872736330551,3.685518182925279,3.6536995600922872,3.5571035104961104,0.47293974349193635,3.1184757273703876,0.5401594835522567,0.00032108417386489624,0.11953042731537189,0.10177649146188751,5,7.305242241832739e-06,-0.0003137789316230635,0
9563,9563,1.976,328.01355,Unknown,[M+H]+,,0.146,False,,,,,,,999,False,False,False,,False,False,,,,,,,,108.06,Cornell_Pos_S-25,328.01355:7632580 329.0169:640469 330.02026:739407,,319.22903_@_7.87,5.863068735530831,6.481219237629631,7.204723050402375,6.809624894248333,6.328488449685478,7.463465678120381,7.75635501408823,6.303326685221068,7.482292734204814,7.450639769565539,6.409337418901377,6.741799614395507,4.634425869727518,4.620787030233557,6.044614614864502,6.910759728051402,4.896653691821869,6.526116509661222,4.677316820654347,5.873954128759374,6.208635405895097,6.246717320010997,5.680330317807078,6.558333763631308,5.667512777363946,6.355321227948431,6.558529073967025,5.304944888408821,5.744588440963684,6.656806758605711,6.185648313706103,5.1241247181615615,6.407091305391005,5.961400413372644,6.654816608502507,6.450859838988782,6.167136216868522,5.501197137321981,6.023862694442109,6.263224855305754,-0.9150504621541948,6.868412878872552,-0.5391247734515249,0.0003313900022924325,0.23189562438756006,0.1974520092131752,6,8.766290690199288e-06,-0.0003226237116022332,0
27546,27546,18.321,704.21521,Unknown,[M+H]+,,0.045,False,,,,,,,999,False,False,False,,False,False,,,,,,,,10.43,Cornell_Pos_S-08_R,704.21521:815676 705.21856:442482 706.22192:169219,,695.77032_@_15.545,4.669650227247106,4.93541204302194,4.493643959365333,4.963573669732665,4.68787089607792,5.155671526677728,4.910856750136409,4.933280184633232,4.864823022936357,4.921805905334498,4.931214941724668,4.88736556859298,4.718950375921761,4.334255920148903,4.6049330976419665,4.5086768295219395,4.507609196164694,4.539338677938924,4.330789586332006,4.159359511121747,4.458556142164271,4.796895908466205,4.513225915129036,4.442957739743227,4.783380212343123,4.828084391965083,4.471297527044746,4.623310280810405,4.362955575712839,4.538216379990726,4.5003590268556755,4.859847175064111,4.795824195936878,4.004446926077149,4.786284765218819,4.572321752146432,4.897913670271355,4.377888090275817,4.396358522256136,4.8053067987438824,-0.2949607627715949,4.860709375171624,-0.5358356174731218,0.0003661519394060736,0.07539614564958605,0.06419750473842308,7,1.0227339138565836e-05,-0.00035592460026750777,0
505,505,11.889,116.10727,Unknown,[M+H]+,,0.112,False,,,,,,,999,False,False,False,,False,False,,,,,,,,7.76,Cornell_Pos_S-50_R,116.10727:1012438 117.11062:0 118.11398:0,,107.76088_@_11.657,4.311891962748463,4.145780248069589,4.889801495492635,4.424532157410477,4.001519603902402,4.897653661163803,4.183644795164033,4.073471518122399,4.436256408415216,4.018499101989152,4.865790767617708,4.5135854320927855,4.534098699295659,3.5395076786822965,3.574290913831376,3.402532669837513,3.815321488728612,3.3160589308175648,4.017236377534222,4.193060477000694,3.6615253380031962,4.405129062944984,4.3680610760307506,3.298083199760014,3.665884450156705,3.9287094445114925,4.068072615275202,3.7348427101728747,3.595477840198197,3.869013478820048,4.437049953978608,3.71658231798486,3.8743208265581917,3.2511177419022754,3.527249892335234,4.149405831458695,4.140333044931267,3.8721546541384866,4.310393826239934,3.53538750129586,-0.5133449770002729,4.386258338190535,-0.5319182867860622,0.0004117956051440456,0.13257182502617249,0.11288084148033409,8,1.1688387586932384e-05,-0.00040010721755711324,0
33032,33032,16.468,925.82312,Unknown,[M+H]+,,0.079,False,,,,,,,999,False,False,False,,False,False,,,,,,,,3.23,Cornell_Pos_S-19,925.82312:55080 926.82647:0 927.82983:0,,901.08228_@_1.973,4.560340064034675,2.946048802466314,5.072225496270904,3.35187679441354,5.3692355518471455,4.766106127667385,5.125534149789082,4.282839169846998,3.600561841441773,3.3371710505266976,4.3884948780720885,5.174181961974373,4.706792444621047,4.977014134992136,4.920083868166015,4.5986140471544035,4.645330216479229,4.989300039851828,4.97427058731952,5.804925108405723,5.401800182307846,4.765678790430432,4.144054313170244,4.348407222568251,5.09335255258717,5.89718573429336,4.189234585797038,5.8339902321970865,4.936342504763132,5.064449444398927,5.515885407575152,5.696754217347279,5.408290725941519,4.791099187937983,4.642830086417494,5.176604650004913,4.736372179112369,5.559950242163189,5.144650069583247,5.60868638860078,0.8056265157456344,4.254584902397873,0.530194360027288,0.0004334497203193579,0.20899661946736278,0.17795420910411078,9,1.3149436035298931e-05,-0.000420300284284059,0
28055,28055,18.877,718.25201,Unknown,[M+H]+,,0.18,False,,,,,,,999,False,False,False,,False,False,,,,,,,,3.26,Cornell_Pos_S-19,718.25201:59620 719.25536:0 720.25872:0,,708.04718_@_17.459,3.4572656145139797,3.809032469062411,3.471216599789146,3.787786276687509,3.663956581652817,2.82570484795823,3.8033304640134915,3.7801630400519763,3.90546854236507,3.8445634064500505,3.7711906698949327,3.970505179658237,3.922682094248476,3.3853949910275634,3.7565483753982356,4.45326149344882,4.019493157248118,3.65808492097498,3.7874988363298776,4.139945325419827,4.1264564003646855,4.448700817621879,3.975584283627019,4.170786375283683,3.8518071936875433,4.075314763090613,4.121866230800726,4.121966529539004,4.007564135001009,3.598686735945113,3.998795118304023,3.7495761951405044,4.1797800807221615,4.146882194851137,3.756141114422848,4.312674395809067,4.339487387078687,4.100082848666688,4.099964319838086,3.952065609826509,0.3606046748475791,3.6472435011308737,0.5297901357694824,0.00043867242782768634,0.09364777910523066,0.07973821063469509,10,1.4610484483665477e-05,-0.00042406194334402084,0
5819,5819,11.965,251.08076,"w/o MS2:13-methoxy-1,6-diazatetracyclo[7.6.1.0?,??.0??,??]hexadeca-3,5,7,9(16),10,12,14-heptaen-2-one",[M+H]+,,0.056,False,,251.0815,C15H10N2O2,Indolonaphthyridine alkaloids,OWCRARVHWCCRAG-UHFFFAOYSA-N,O=C1C=CC2=NC=CC=3C4=CC=C(OC)C=C4N1C23,530,True,True,False,,False,False,,,97.2,,,,,6.23,Cornell_Pos_Blank1,251.08076:219098 252.08411:0 253.08747:0,,242.28368_@_2.841,5.1004159389269015,4.927959228298524,4.633842665449574,4.688767829365159,4.353620809063953,4.825280903329713,4.393323909033553,4.96652614877115,4.653792782882186,4.418855478921155,5.382809793000265,4.622389757473973,4.605351708630172,4.588278017123326,4.351283522114596,4.522205026188835,4.3395462146919614,4.499774570125482,4.442595495005248,3.8193708674149227,4.393976460889059,4.080141338158109,4.2010577637996285,4.154047753183809,4.425679853784468,4.3012537182504,4.019069309710885,4.393259363907783,2.8479520617498246,4.266226885781416,3.9856485679397418,4.565064413199138,4.694469195475833,3.9182404354444986,4.480029858576793,4.4414855005047675,4.329683962802013,4.196719748951906,3.7656671485514313,4.669586308041062,-0.4855487963073361,4.758654135185649,-0.5270238701049147,0.0004759517180915818,0.1270145056705192,0.10814895455702103,11,1.6071532932032027e-05,-0.00045988018515954977,0
32526,32526,18.038,892.05157,Unknown,[M+H]+,,0.124,False,,,,,,,999,False,False,False,,False,False,,,,,,,,3.62,Cornell_Pos_S-04,892.05157:103033 893.05492:0 894.05828:0,,865.41882_@_15.883,6.030399103630674,5.8875388858888185,5.677665829754787,5.784883582895014,5.603041367090331,5.8394409775325595,5.905606004108666,6.103979795090699,5.504355872735988,5.866288021960029,6.174718411197555,5.869339336482705,5.379331605281372,5.621099496502357,5.340082286486811,5.771235007191747,5.5746592718470875,5.354505908573873,5.320164776272547,5.591501527173555,5.275395103325055,5.695378980760023,5.796309544122267,5.357378122515306,5.768922119737486,5.199284111832262,5.322343689257351,5.661267747314187,5.276354881038218,5.664506503996471,5.509055726696159,5.390581559985245,5.73776620471142,5.368594690771436,5.15566180133248,5.732082855851673,5.929455121577999,5.200856929047709,5.402265448119992,6.130917513023352,-0.3216311634030065,5.852537986535012,-0.5256995628137725,0.0004947821165074537,0.08442867640957914,0.07188842754712493,12,1.7532581380398577e-05,-0.0004772495351270551,0
12297,12297,1.559,379.1348,"w/o MS2:NCGC00169704-02_C17H24O8_Benzenepentanoic acid, beta-(hexopyranosyloxy)-",[M+NH4]+,adduct linked to 11428_[M+H]+,0.067,False,,379.13599,C17H24O8,Fatty acyl glycosides of mono- and disaccharides,HRYIDVZLDQBLFF-UHFFFAOYSA-N,OCC1OC(OC(CCC2=CC=CC=C2)CC(O)=O)C(O)C(O)C1O,530,True,True,False,,False,False,,,92.9,,,,,8.67,Cornell_Pos_S-47,379.1348:655656 380.13815:0 381.14151:0,,371.31628_@_19.306,5.626480614350323,5.461308159636829,5.297052185614272,5.483322447634082,5.619008388100278,6.151044877953218,5.20642066833828,5.300431846204569,5.385004197745683,5.39270893012752,5.6285216081028,5.371159492436509,5.236334146060691,5.313459205376372,5.358178027243496,5.30770467805376,5.474370634009651,5.257895709330583,5.189318793590364,5.325167688800709,5.44272345967012,5.220827025721662,5.235616793365856,4.922376218006658,5.158486448287558,5.166346884447579,5.226426515706914,5.2715285834205305,5.3747445755113485,4.968575806710412,5.305370498192296,5.338518528738201,5.363724044241846,5.327394297188575,5.325300668663116,5.241137158456198,5.110406280454542,5.385747987036316,5.275864351780092,5.452400382879305,-0.2306258936465018,5.504663993073441,-0.5253509853993203,0.000499848060409398,0.060595155193424365,0.05159491548460475,13,1.8993629828765123e-05,-0.00048085443058063285,0
